# event_id;time
1;56
2;0
3;1
4;2
5;3
6;11
7;0
8;3
9;4
10;5
11;8
12;16
13;0
14;3
15;6
16;7
17;10
18;18
19;51
20;57
21;58
22;59
23;0
24;3
25;53
26;59
27;0
28;1
29;2
30;5
31;51
32;57
33;0
34;1
35;2
36;5
37;0
38;2
39;0
40;2
41;4
42;6
43;4
44;6
45;0
46;1
47;2
48;4
49;0
50;1
51;2
52;4
53;0
54;1
55;4
56;6
57;0
58;1
59;2
60;4
61;58
62;0
63;1
64;2
65;57
66;59
67;0
68;1
69;57
70;59
71;0
72;1
73;58
74;0
75;1
76;2
77;56
78;0
79;3
80;8
81;8
82;13
83;14
84;17
85;45
86;54
87;57
88;59
89;0
90;1
91;58
92;59
93;0
94;2
95;3
96;6
97;55
98;0
99;2
100;6
101;8
102;17
103;20
104;22
105;25
106;31
107;49
108;54
109;55
110;0
111;3
112;12
113;15
114;17
115;18
116;24
117;52
118;57
119;0
120;4
121;5
122;8
123;9
124;11
125;12
126;18
127;56
128;0
129;1
130;3
131;6
132;15
133;18
134;23
135;26
136;33
137;51
138;55
139;58
140;0
141;1
142;7
143;10
144;14
145;16
146;23
147;51
148;57
149;0
150;2
151;3
152;6
153;9
154;14
155;17
156;24
